阿尔巴尼亚语 [sq]

阿拉伯语 [ar]


阿姆哈拉语 [am]


阿萨姆语 [as]


阿塞拜疆语 [az]


埃纳德语 [kn]


爱尔兰语 [ga]


爱沙尼亚语 [et]


奥克西唐语 [oc]


奥里雅语 [or]


巴什基尔语 [ba]


巴斯克语 [eu]


巴索托语 [nso]


白俄罗斯语 [be]


保加利亚语 [bg]


北萨米语 [se]


冰岛语 [is]


波兰语 [pl]


波斯尼亚语 [bs]


波斯语 [fa]


布里多尼语 [br]


藏语 [bo]


朝鲜语 [ko]


茨瓦纳语 [tn]


达里语 [prs]


鞑靼语 [tt]


丹麦语 [da]


德语 [de]


迪维希语 [dv]


俄语 [ru]


法罗语 [fo]


法语 [fr]


梵语 [sa]


菲律宾语 [fil]


芬兰语 [fi]


弗里西亚语 [fy]


高棉语 [km]


格陵兰语 [kl]


格鲁吉亚语 [ka]


古吉拉特语 [gu]


哈萨克语 [kk]


豪撒语 [ha]


荷兰语 [nl]


基切语 [qut]


吉尔吉斯语 [ky]


加利西亚语 [gl]


加泰罗尼亚语 [ca]


捷克语 [cs]


科西嘉语 [co]


克罗地亚语 [hr]


克丘亚语 [quz]


孔卡尼语 [kok]


拉脱维亚语 [lv]


老挝语 [lo]


立陶宛语 [lt]


卢森堡语 [lb]


卢旺达语 [rw]


罗马尼亚语 [ro]


罗曼什语 [rm]


律勒萨米语 [smj]


马耳他语 [mt]


马拉地语 [mr]


马拉雅拉姆语 [ml]


马来语 [ms]


马普丹冈语 [arn]


毛利语 [mi]


蒙古语 [mn]


孟加拉语 [bn]


莫霍克语 [moh]


南非荷兰语 [af]


南萨米语 [sma]


尼泊尔语 [ne]


挪威语 [no]


旁遮普语 [pa]


葡萄牙语 [pt]


普什图语 [ps]


日语 [ja]


瑞典语 [sv]


塞尔维亚语 [sr]


僧伽罗语 [si]


上索布语 [hsb]


书面挪威语 [nb]


斯科特萨米语 [sms]


斯洛伐克语 [sk]


斯洛文尼亚语 [sl]


斯瓦希里语 [sw]


苏格兰盖立语 [gd]


索萨语 [xh]



塔吉克语 [tg]


塔马塞特语 [tzm]


泰国语 [th]


泰卢固语 [te]


泰米尔语 [ta]


土耳其语 [tr]


土库曼语 [tk]


威尔士语 [cy]


维吾尔语 [ug]


沃洛夫语 [wo]


乌尔都语 [ur]


乌克兰语 [uk]


乌兹别克语 [uz]


西班牙语 [es]


希伯来语 [he]


希腊语 [el]


下索布语 [dsb]


匈牙利语 [hu]



叙利亚语 [syr]


雅库特语 [sah]



亚美尼亚语 [hy]


伊博语 [ig]


伊纳里萨米语 [smn]


彝语 [ii]


意大利语 [it]


因纽特语 [iu]


印地语 [hi]


印度尼西亚语 [id]


英语 [en]


约鲁巴语 [yo]


越南语 [vi]


中文 [zh]


祖鲁语 [zu]
